"","Location.city","n","lat","lng","location_type","formatted_address","status","error_message","locations","input_url","geocode_dt"
"11","Kilifi",1,-3.5106508,39.9093269,"APPROXIMATE","Kilifi, Kenya","OK","","Kilifi,Kenya","https://maps.googleapis.com/maps/api/geocode/json?address=Kilifi%2cKenya&key=AIzaSyA0P3ttBF5MNosQkQoVj7lRnYg5NoLrL_w",2018-05-15
"12","Kisauni",6,-4.0226198,39.6879333,"APPROXIMATE","Kisauni, Mombasa, Kenya","OK","","Kisauni,Kenya","https://maps.googleapis.com/maps/api/geocode/json?address=Kisauni%2cKenya&key=AIzaSyA0P3ttBF5MNosQkQoVj7lRnYg5NoLrL_w",2018-05-15
"13","Kisumu",1,-0.0917016,34.7679568,"APPROXIMATE","Kisumu, Kenya","OK","","Kisumu,Kenya","https://maps.googleapis.com/maps/api/geocode/json?address=Kisumu%2cKenya&key=AIzaSyA0P3ttBF5MNosQkQoVj7lRnYg5NoLrL_w",2018-05-15
"14","Kwale",1,-4.1816115,39.4605612,"APPROXIMATE","Kwale, Kenya","OK","","Kwale,Kenya","https://maps.googleapis.com/maps/api/geocode/json?address=Kwale%2cKenya&key=AIzaSyA0P3ttBF5MNosQkQoVj7lRnYg5NoLrL_w",2018-05-15
"15","Lamu",1,-2.2695575,40.9006408,"APPROXIMATE","Lamu, Kenya","OK","","Lamu,Kenya","https://maps.googleapis.com/maps/api/geocode/json?address=Lamu%2cKenya&key=AIzaSyA0P3ttBF5MNosQkQoVj7lRnYg5NoLrL_w",2018-05-15
"16","Likoni",2,-4.0929017,39.6614446,"APPROXIMATE","Likoni, Mombasa, Kenya","OK","","Likoni,Kenya","https://maps.googleapis.com/maps/api/geocode/json?address=Likoni%2cKenya&key=AIzaSyA0P3ttBF5MNosQkQoVj7lRnYg5NoLrL_w",2018-05-15
"17","Madogo",1,-0.4725528,39.6027669,"APPROXIMATE","Madogo, Kenya","OK","","Madogo,Kenya","https://maps.googleapis.com/maps/api/geocode/json?address=Madogo%2cKenya&key=AIzaSyA0P3ttBF5MNosQkQoVj7lRnYg5NoLrL_w",2018-05-15
"18","Malindi",4,-3.2191864,40.1168906,"APPROXIMATE","Malindi, Kenya","OK","","Malindi,Kenya","https://maps.googleapis.com/maps/api/geocode/json?address=Malindi%2cKenya&key=AIzaSyA0P3ttBF5MNosQkQoVj7lRnYg5NoLrL_w",2018-05-15
"19","Malindi ",2,-3.2191864,40.1168906,"APPROXIMATE","Malindi, Kenya","OK","","Malindi ,Kenya","https://maps.googleapis.com/maps/api/geocode/json?address=Malindi%20%2cKenya&key=AIzaSyA0P3ttBF5MNosQkQoVj7lRnYg5NoLrL_w",2018-05-15
"20","Mandera",30,3.9356389,41.8551162,"APPROXIMATE","Mandera, Kenya","OK","","Mandera,Kenya","https://maps.googleapis.com/maps/api/geocode/json?address=Mandera%2cKenya&key=AIzaSyA0P3ttBF5MNosQkQoVj7lRnYg5NoLrL_w",2018-05-15
"21","Maralal",1,1.0931431,36.7018311,"APPROXIMATE","Maralal, Kenya","OK","","Maralal,Kenya","https://maps.googleapis.com/maps/api/geocode/json?address=Maralal%2cKenya&key=AIzaSyA0P3ttBF5MNosQkQoVj7lRnYg5NoLrL_w",2018-05-15
"22","Maua",1,0.2325548,37.9413748,"APPROXIMATE","Maua, Kenya","OK","","Maua,Kenya","https://maps.googleapis.com/maps/api/geocode/json?address=Maua%2cKenya&key=AIzaSyA0P3ttBF5MNosQkQoVj7lRnYg5NoLrL_w",2018-05-15
"23","Mbita",1,-0.4367915,34.2060283,"APPROXIMATE","Mbita, Kenya","OK","","Mbita,Kenya","https://maps.googleapis.com/maps/api/geocode/json?address=Mbita%2cKenya&key=AIzaSyA0P3ttBF5MNosQkQoVj7lRnYg5NoLrL_w",2018-05-15
"24","Milamani",4,-1.289271,36.8052516,"GEOMETRIC_CENTER","Milimani Rd, Nairobi, Kenya","OK","","Milamani,Kenya","https://maps.googleapis.com/maps/api/geocode/json?address=Milamani%2cKenya&key=AIzaSyA0P3ttBF5MNosQkQoVj7lRnYg5NoLrL_w",2018-05-15
"25","Mlolongo",6,-1.3922344,36.9406718,"APPROXIMATE","Mlolongo, Kenya","OK","","Mlolongo,Kenya","https://maps.googleapis.com/maps/api/geocode/json?address=Mlolongo%2cKenya&key=AIzaSyA0P3ttBF5MNosQkQoVj7lRnYg5NoLrL_w",2018-05-15
"26","Mombasa",60,-4.0434771,39.6682065,"APPROXIMATE","Mombasa, Kenya","OK","","Mombasa,Kenya","https://maps.googleapis.com/maps/api/geocode/json?address=Mombasa%2cKenya&key=AIzaSyA0P3ttBF5MNosQkQoVj7lRnYg5NoLrL_w",2018-05-15
"27","Mtongwe",2,-4.0917613,39.6440744,"APPROXIMATE","Mtongwe, Mombasa, Kenya","OK","","Mtongwe,Kenya","https://maps.googleapis.com/maps/api/geocode/json?address=Mtongwe%2cKenya&key=AIzaSyA0P3ttBF5MNosQkQoVj7lRnYg5NoLrL_w",2018-05-15
"28","Mvita",4,-4.0580556,39.6813889,"APPROXIMATE","Mombasa Harbour, Mombasa, Kenya","OK","","Mvita,Kenya","https://maps.googleapis.com/maps/api/geocode/json?address=Mvita%2cKenya&key=AIzaSyA0P3ttBF5MNosQkQoVj7lRnYg5NoLrL_w",2018-05-15
"29","Mwamanga-Ukunda",1,-4.2879181,39.565308,"APPROXIMATE","Ukunda, Kenya","OK","","Mwamanga-Ukunda,Kenya","https://maps.googleapis.com/maps/api/geocode/json?address=Mwamanga-Ukunda%2cKenya&key=AIzaSyA0P3ttBF5MNosQkQoVj7lRnYg5NoLrL_w",2018-05-15
"30","Nairobi",60,-1.2920659,36.8219462,"APPROXIMATE","Nairobi, Kenya","OK","","Nairobi,Kenya","https://maps.googleapis.com/maps/api/geocode/json?address=Nairobi%2cKenya&key=AIzaSyA0P3ttBF5MNosQkQoVj7lRnYg5NoLrL_w",2018-05-15
"31","Nakuru",2,-0.3030988,36.080026,"APPROXIMATE","Nakuru, Kenya","OK","","Nakuru,Kenya","https://maps.googleapis.com/maps/api/geocode/json?address=Nakuru%2cKenya&key=AIzaSyA0P3ttBF5MNosQkQoVj7lRnYg5NoLrL_w",2018-05-15
"32","Ndaragwa Village",1,-0.0581284,36.531071,"APPROXIMATE","Ndaragwa, Kenya","OK","","Ndaragwa Village,Kenya","https://maps.googleapis.com/maps/api/geocode/json?address=Ndaragwa%20Village%2cKenya&key=AIzaSyA0P3ttBF5MNosQkQoVj7lRnYg5NoLrL_w",2018-05-15
"33","Ndengelwa village",1,-0.023559,37.906193,"APPROXIMATE","Kenya","OK","","Ndengelwa village,Kenya","https://maps.googleapis.com/maps/api/geocode/json?address=Ndengelwa%20village%2cKenya&key=AIzaSyA0P3ttBF5MNosQkQoVj7lRnYg5NoLrL_w",2018-05-15
"34","Rahole Game Reserve",1,-0.023559,37.906193,"APPROXIMATE","Kenya","OK","","Rahole Game Reserve,Kenya","https://maps.googleapis.com/maps/api/geocode/json?address=Rahole%20Game%20Reserve%2cKenya&key=AIzaSyA0P3ttBF5MNosQkQoVj7lRnYg5NoLrL_w",2018-05-15
"35","Shalatey village",2,-0.023559,37.906193,"APPROXIMATE","Kenya","OK","","Shalatey village,Kenya","https://maps.googleapis.com/maps/api/geocode/json?address=Shalatey%20village%2cKenya&key=AIzaSyA0P3ttBF5MNosQkQoVj7lRnYg5NoLrL_w",2018-05-15
"36","South Mugirango",1,-0.023559,37.906193,"APPROXIMATE","Kenya","OK","","South Mugirango,Kenya","https://maps.googleapis.com/maps/api/geocode/json?address=South%20Mugirango%2cKenya&key=AIzaSyA0P3ttBF5MNosQkQoVj7lRnYg5NoLrL_w",2018-05-15
"37","Tiwi",1,-4.2383996,39.5950186,"APPROXIMATE","Tiwi, Kenya","OK","","Tiwi,Kenya","https://maps.googleapis.com/maps/api/geocode/json?address=Tiwi%2cKenya&key=AIzaSyA0P3ttBF5MNosQkQoVj7lRnYg5NoLrL_w",2018-05-15
"38","Ukunda",6,-4.2879181,39.565308,"APPROXIMATE","Ukunda, Kenya","OK","","Ukunda,Kenya","https://maps.googleapis.com/maps/api/geocode/json?address=Ukunda%2cKenya&key=AIzaSyA0P3ttBF5MNosQkQoVj7lRnYg5NoLrL_w",2018-05-15
"39","Wajir",11,1.7488388,40.058633,"APPROXIMATE","Wajir, Kenya","OK","","Wajir,Kenya","https://maps.googleapis.com/maps/api/geocode/json?address=Wajir%2cKenya&key=AIzaSyA0P3ttBF5MNosQkQoVj7lRnYg5NoLrL_w",2018-05-15
"40","Witu",3,-2.388281,40.4376262,"APPROXIMATE","Witu, Kenya","OK","","Witu,Kenya","https://maps.googleapis.com/maps/api/geocode/json?address=Witu%2cKenya&key=AIzaSyA0P3ttBF5MNosQkQoVj7lRnYg5NoLrL_w",2018-05-15
